Назва фіду,Ідентифікатор фіду,Ідентифікатор клієнта,Час завантаження
"PRODUCTS SOURCE 2","407310700","5747965785","23 бер. 2026 р., 13:19 EET"

Ідентифікатор товару,Номер рядка,Повідомлення,Тип,Значення,Назва позиції
"variant_01KKJ7XT82P2DG1GEA7BSW1CSM","4 999","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XPK58P8H11B436W5VVR4","1 624","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XRAGAD4WTKHJ6AR69V9J","3 298","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZ6FBAHMP3RWY7QXYEQ9","10 857","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XW5JYFRCT2504TC3361J","7 200","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XPK5DHNZ1WK273C404XF","1 644","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XWEQ15M2AJ4JRMM9SJ8P","7 823","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XX94H3MYBW4V4TQ45WMW","8 683","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XV9D1K2VF73HJYGS7D0B","6 228","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XWET04DEHMD341AQ96WJ","7 709","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XTNFF450RA7V3NGC8K3A","5 596","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XS6DZFT0RBMDEJE1S7Q2","3 834","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZWYFNS2GSV2M93Q3QJ1","11 792","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XXHENS7XARY6KBGRCBGG","9 226","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZWYQS8B8F9R11T8NM66","11 871","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XN0KVMMRB5KNW1XW8MD4","411","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XW5KJD05JV6CREBX1KF0","7 218","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XMFWMM62J01QZAKAG0YQ","63","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XVJWWC3VDRTX29JV3PNH","6 802","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZ6K1MT58KGK6MAMM2K6","11 109","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XVJVGW77D9G56FP12GNK","6 820","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZ6NP1V11QCGAN9FR2E6","11 170","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XTNGZZ9BHX0Z126PVHP1","5 448","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XTZTSWEVQZVV0BC6K4T5","5 912","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQ1EGHSKDGAX3YNKJZXB","1 930","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XY5E0RBNNR14XRV076QM","10 071","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XT830J652T5YEZMXAVHM","5 113","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XPK8WZZAD770WHC4HYTS","1 778","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XSHNYJYEACNDEYNPDDD5","4 229","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XRTWKJFX6Z02PAZ6K77W","3 472","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XN0J6WJTHPWPBEAAVV4C","565","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XP1YPBSXHM0D29Z8G7NY","1 127","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XPK9M83SDHPQSVWPASM7","1 834","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XSX1QKRMDF3CV0RDXEVR","4 861","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XWRM7P40R7WZ4C1K2MQF","8 117","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XYVGBX0GJFE60CBPV74Q","10 639","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XSX1421G9BJJ2EE2EC3M","4 819","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZH03ZSHWQA3FAJZ6CA0","11 310","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XY5EWN5SJ0NJ83RP76NB","10 035","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZH2SS3F6TJPCQTZDKK0","11 504","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQTZG8ZEX5WX9T5MN542","2 710","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XY5F3C6Z1814SHHWVWB7","10 053","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XX97KHAXBX6XH7M7JG7P","8 961","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQ1GRJYT9FAWXA90DAVK","1 970","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XY5D29RRFC9NR9QK5574","9 767","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQDT0G617EKDW0XEV29V","2 442","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQTXQ90NK646XBN22WEV","2 730","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQDPGMTRQY9C9MFX3267","2 254","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XVJR2NHZD0MDX24PV1HZ","6 510","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XXTTQFQ6ZAQ226JFB5C0","9 396","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XRV0GW6CEE8QNKFVCNN3","3 662","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XVW4V9P1Z792TZ7F58YR","7 074","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XX94S2X7MZBMR8CBDRT8","8 701","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XWEPKN7HT8S0V1JJW3EH","7 580","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XRTX97655KDKD27HHW5G","3 432","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XXTWSHHRGGR0SWSR31G3","9 508","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XW5NGGPPWPDH5XMG77JJ","7 314","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XP23955DCY6NYHWV2F8A","1 410","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XRAGE09M3Z364QMPR0S4","3 372","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XSHR31R14G0CKRPKRX87","4 504","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XPK7S9DETW2XRNCN0W9W","1 760","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XWRNE18H4GFBH6JEQ2H7","8 098","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XRAD7WZ2Q0GVQFRMBJGD","3 128","Товар завантажено через кілька фідів",Попередження,,
