Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01KKJ7XWMG9KV2YXY7VBG3P4R4,113349-kotushka,Котушка,published,/products/112969-ersatzfadenspule-gtli18v-comfort.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XWRQ3R5VWZ8JCSYN6Q6A
prod_01KKJ7XWMGA0ER017JKCYT1FVM,kultyvator-benzynovyy-mh-540,Культиватор бензиновий MH 540,published,/products/113970-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XWRM7N55Z7RTN0RSBM8M
prod_01KKJ7XWMGEFP1QSEG1VTJTMDQ,motoblok-benzynovyy-combi-bf-5002-rii,Мотоблок бензиновий Combi BF 5002-RІІ,published,/products/127766-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XWRNE18H4GFBH6JEQ2H7
prod_01KKJ7XWMGQ0JSBHRXY5T0JJG8,kultyvator-benzynovyy-mn-5007-r,Культиватор бензиновий МН 5007 R,published,/products/113620-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XWRM7P40R7WZ4C1K2MQF
prod_01KKJ7XWMGQ1W3JD9A47Z39BKZ,kultyvator-akumulyatornyy-tld-1820,Культиватор акумуляторний TLD 1820,published,/products/114153-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XWRPWXRCP71Q08XA230Q
prod_01KKJ7XWMGX464GMQ7P7CA6RXD,113725-kotushka,Котушка,published,/products/113725-replacement-thread-for-gt-2000-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XWRPGCCK79RFZQZAPPC7
prod_01KKJ7XWMGY8XR8C9Y7T2X0D5J,112969-kotushka,Котушка,published,/products/112969-ersatzfadenspule-gtli18v-comfort.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XWRQNE5CA49M4VP2BD87
prod_01KKJ7XWMH5C49SC1V4YG7VS76,113806-shpulka-fasteasy,Шпулька Fast&Easy,published,/products/113806-replacementthread-head-fast-easy-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XWRSPA1XE89E2NPZPGGF
prod_01KKJ7XWMHD53TV5K5S8731TRT,112880-shpulka,Шпулька,published,/products/112880.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XWRRX6GP9WZ95C3ZKTQD
prod_01KKJ7XWMHG06PCZW3HGQSQ1PN,112406-shpulka,Шпулька,published,/products/112406-replacement-thread-spool-al-ko-for-bc260b4-bc225b-410-4125-4535-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XWRRW59TC7RABXSXYN8X
