Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01KKH9QKGY7YBBDXHZ1PVE0ZQ2,alko-119934-hazonokosarka-akumulyatorna-moweo-460-li-sp,Газонокосарка акумуляторна Moweo 46.0 Li SP,published,https://alko-garden.com.ua/out/pictures/master/product/1/119934-al-ko-moveo-46-0-li-sp-002.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRGVHHNWZGN1K27VYS5
prod_01KKH9QKGY81KG71NZWKYCMH26,alko-123012-hazonokosarka-akumulyatorna-512-li-vs-w,Газонокосарка акумуляторна 51.2 Li VS-W,published,https://alko-garden.com.ua/out/pictures/master/product/1/123012-energy-flex-lawnmower-512-li-vs-w-set-with-2-batteries-and-charger-webshop-2.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRHHSSAJ0TT91VF6E4C
prod_01KKH9QKGYDH7NBQXC3H6TQC71,alko-113278-hazonokosarka-akumulyatorna-moweo-385-li,Газонокосарка акумуляторна Moweo 38.5 Li,published,https://alko-garden.com.ua/out/pictures/master/product/1/al-ko-113278-moweo-3-85-li.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRFNGT04M714WF9NFE8
prod_01KKH9QKGYH72RARC0DBYYSQXR,alko-113694-hazonokosarka-akumulyatorna-429-li,Газонокосарка акумуляторна 42.9 LI,published,https://alko-garden.com.ua/out/pictures/master/product/1/113694.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRH3Z1W38V5GTAC0JDM
prod_01KKH9QKGYM3RECE9AN6A8TSC7,alko-123011-hazonokosarka-akumulyatorna-462-li-sp-w,Газонокосарка акумуляторна 46.2 Li SP-W,published,https://alko-garden.com.ua/out/pictures/master/product/1/123011-energy-flex-lawnmower-46-2-li-sp-w-set-with-2-batteries-and-charger-webshop-5.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRHWY0BYTRDBJR4H0AV
prod_01KKH9QKGYNCWVTPY419D3E2MY,alko-113714-hazonokosarka-akumulyatorna-469-li-sp,Газонокосарка акумуляторна 46.9 LI SP,published,https://alko-garden.com.ua/out/pictures/master/product/1/113714-battery-lawnmower-46-9-li-sp-webshop.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRHJ9MP15EQ2A9BMRGK
prod_01KKH9QKGYW8PK2DZ5A5CJEB4V,alko-119933-hazonokosarka-akumulyatorna-moweo-420-li,Газонокосарка акумуляторна Moweo 42.0 Li,published,https://alko-garden.com.ua/out/pictures/master/product/1/119933-al-ko-moveo-42-0-li-002.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRGMEF2QP6NH1DDZ4GX
prod_01KKH9QKGZ19DQ45P9GDPW0P6Z,alko-113886-hazonokosarka-akumulyatorna-381-li,Газонокосарка акумуляторна 38.1 Li,published,https://alko-garden.com.ua/out/pictures/master/product/1/113886-lawnmower-38-1-2akku-1-webshop-1.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRK9ANFRBTKPVH35G4X
prod_01KKH9QKGZ27GKVNKC2DZ3KV07,alko-113540-hazonokosarka-akumulyatorna-348-li,Газонокосарка акумуляторна 34.8 Li,published,https://alko-garden.com.ua/out/pictures/master/product/1/b079l9l8hz-main.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRJXXQ7D32T9J73HB4N
prod_01KKH9QKGZ3NKRWB59QMXQTQ3E,alko-127486-traktor-hazonokosarka-r7-638-a,Трактор-газонокосарка R7-63.8 А,published,https://alko-garden.com.ua/out/pictures/master/product/1/127486.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRN4H5540BD3WTQP56E
prod_01KKH9QKGZABA0HDD7JPG1M6P2,alko-127618-robot-hazonokosarka-450-w,Робот-газонокосарка 450 W,published,https://alko-garden.com.ua/out/pictures/master/product/1/al-ko-robo-450-w-retusche.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRMRM5EHTH7RDG8224F
prod_01KKH9QKGZBHC1RV7252XNPDTV,alko-127571-robot-hazonokosarka-2000-w,Робот-газонокосарка 2000 W,published,https://alko-garden.com.ua/out/pictures/master/product/1/wlan-robo-sba-2-1.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRNG1APV4VHKC4RB7MJ
prod_01KKH9QKGZBWR39B8777CRTA4G,alko-127487-traktor-hazonokosarka-r7-658-hd,Трактор-газонокосарка R7-65.8 HD,published,https://alko-garden.com.ua/out/pictures/master/product/1/127487.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRPA1DYXDAM1JFND9VZ
prod_01KKH9QKGZCS0MMM06CNFARZHD,alko-119991-robot-hazonokosarka-300-e,Робот-газонокосарка 300 Е,published,https://alko-garden.com.ua/out/pictures/master/product/1/119991-al-ko-robo-300e-0011.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRM5SQBAQ8MTKWHG8Z0
prod_01KKH9QKGZDS897HTEQZRGH6BJ,alko-113902-hazonokosarka-akumulyatorna-381-li,Газонокосарка акумуляторна 38.1 Li,published,https://alko-garden.com.ua/out/pictures/master/product/1/113902-lawnmower-38-1-li-2-webshop.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRKAVTFXGMR8AZEZY0M
prod_01KKH9QKGZEPG8GJ9G3YSF62R5,alko-127569-robot-hazonokosarka-700-w,Робот-газонокосарка 700 W,published,https://alko-garden.com.ua/out/pictures/master/product/1/700-w.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRN4EGZCM5KKYS831T0
prod_01KKH9QKGZJ61B024T5JN315J8,alko-119925-robot-hazonokosarka-500-w,Робот-газонокосарка 500 W,published,https://alko-garden.com.ua/out/pictures/master/product/1/500-w.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRMZKE04XK0V01DTMRB
prod_01KKH9QKGZRQ496X7NBR4PM9QB,alko-113901-hazonokosarka-akumulyatorna-321-li,Газонокосарка акумуляторна 32.1 Li,published,https://alko-garden.com.ua/out/pictures/master/product/1/113901-lawnmower-32-1-li-2-webshop.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRKGHS9QVZ1A7J28VDQ
prod_01KKH9QKGZSG4WF6CJSXRN8T0Q,alko-127570-robot-hazonokosarka-1200-w,Робот-газонокосарка 1200 W,published,https://alko-garden.com.ua/out/pictures/master/product/1/127570-sba-robo-1200-w.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRNHT1JM41P5V1ER75C
prod_01KKH9QKGZVJ7FFQA6N770YY78,alko-113540-21-aktsiya,АКЦІЯ,published,https://content.rozetka.com.ua/goods/images/big/177741828.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QKRJW3W6CNZ1TZD58G4W
prod_01KKH9QM22CGF7VRGVGJNEA825,alko-123014-traktor-hazonokosarka-t15-932-hd-a,Трактор-газонокосарка T15-93.2 HD-A,published,https://alko-garden.com.ua/out/pictures/master/product/1/123014-lawntractor-15-93-2-hd-a-webshop.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QM7G0R0YS38E7DNEA5AQ
prod_01KKH9QM22MV862V8JNNYCC3QQ,alko-127418-traktor-hazonokosarka-t15-1037-hd-a,Трактор-газонокосарка T15-103.7 HD-A,published,https://alko-garden.com.ua/out/pictures/master/product/1/127416-127417-127443-127418-t15-937-hd-a-01-2.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QM7HQR8J7BPDKEG222GE
prod_01KKH9QM22S5QA3CY6WG06PFF4,alko-123015-traktor-hazonokosarka-t18-1112-hds,Трактор-газонокосарка T18-111.2 HDS,published,https://alko-garden.com.ua/out/pictures/master/product/1/123015-lawntractor-18-111-2-hds-webshop.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QM7G8PRA53VBA2NKER9B
prod_01KKH9QM22X2RQHXBZ7BH59MNJ,alko-127417-traktor-hazonokosarka-t15-937-hd-a,Трактор-газонокосарка T15-93.7 HD-A,published,https://alko-garden.com.ua/out/pictures/master/product/1/127416-127417-127443-127418-t15-937-hd-a-01-1.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QM7G0P78YFMZ8D3MWJ6K
prod_01KKH9QM233XYJ1QB2A2SYZ9MH,alko-127575-traktor-hazonokosarka-t22-1100-hdh-a-v2,Трактор-газонокосарка T22-110.0 HDH-A V2,published,https://alko-garden.com.ua/out/pictures/master/product/1/127575-solo-by-al-ko-petrol-lawntractor-t-22-110-0-hdh-a-v2-webshop.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QM7JQ8YMBHASZCHAZJVS
prod_01KKH9QM236CF51F3K5B87GQAZ,alko-123016-traktor-hazonokosarka-t18-1032-hd,Трактор-газонокосарка T18-103.2 HD,published,https://alko-garden.com.ua/out/pictures/master/product/1/123016-lawntractor-18-103-2-hd-webshop.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QM7M35JYPJ83AANEJFT0
prod_01KKH9QM236KWDYDJJ77C146VH,alko-127444-traktor-hazonokosarka-t16-1037-hd-v2,Трактор-газонокосарка T16-103.7 HD V2,published,https://alko-garden.com.ua/out/pictures/master/product/1/127444-t-16-103-7-hd-v2neu.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QM7JSFKTT3X6MVWKT9A4
prod_01KKH9QM237XS4B6Y1MG31E0CZ,alko-127621-traktor-hazonokosarka-t22-1051-hd-a-v2,Трактор-газонокосарка T22-105.1 HD-A V2,published,https://alko-garden.com.ua/out/pictures/master/product/1/1-2.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QM7HK4C62N21FEMZ2EVR
prod_01KKH9QM239AQPHG52QQ9HDVJ2,alko-127617-traktor-hazonokosarka-e-rider-r-851-li,Трактор-газонокосарка E-Rider R 85.1 Li,published,https://alko-garden.com.ua/out/pictures/master/product/1/127617-r85-1-li.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QM7KJYSKR5EKBJ4DZNDR
prod_01KKH9QM23CHXYVS1BASPNF2RT,alko-127657-traktor-hazonokosarka-t24-1252-hd-v2-sd,Трактор-газонокосарка T24-125.2 HD V2 SD,published,https://alko-garden.com.ua/out/feedimages/127657/127657_Traktor_smartDisplay_001.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QM7K6Z5RPH2Y2NBG5MRS
prod_01KKH9QM23FPYZJA886VQSTVNJ,alko-127554-traktor-hazonokosarka-t22-1039-hd-a-v2,Трактор-газонокосарка T22-103.9 HD-А V2,published,https://alko-garden.com.ua/out/pictures/master/product/3/127554-traktor-t22-103-9-hd-a-v2-007.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QM7HK245JHXKTF24M9B3
prod_01KKH9QM23PP1A4HWTG2YFZ6Y2,alko-127691-traktor-hazonokosarka-t16-1033-hd-v2,Трактор-газонокосарка T16-103.3 HD V2,published,https://alko-garden.com.ua/out/pictures/master/product/1/sba-127687-127688-127689-127690-127691-comfort-traktor.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QM7KDKW80SGSFXAWFA18
prod_01KKH9QM23RVJTAWFGTWCVPVPM,alko-127601-traktor-hazonokosarka-t22-1051-hdd-a-v2,Трактор-газонокосарка T22-105.1 HDD-A V2,published,https://alko-garden.com.ua/out/pictures/master/product/1/sba-127601-t22-1051hdd-v2-diffsperre.png,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QM7J76RTBBCMK0V0AFH5
prod_01KKH9QM246EXQ28R7T9B313SA,alko-112805-hazonokosarka-elektrychna-322-se,Газонокосарка електрична 3.22 SE,published,https://alko-garden.com.ua/out/pictures/master/product/1/112805-2.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QM7N21W42B4AVEWET7KB
prod_01KKH9QM24KM9FMPQQD52B1KXB,alko-127688-traktor-hazonokosarka-t15-1033-hd-a,Трактор-газонокосарка T15-103.3 HD-A,published,https://alko-garden.com.ua/out/pictures/master/product/1/sba-127687-127688-127689-127690-127691-comfort-traktor.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QM7NW7X507H9T3A45X2V
prod_01KKH9QM24R6CRFEAMQ94KH3NP,alko-127689-traktor-hazonokosarka-t13-933-hd,Трактор-газонокосарка T13-93.3 HD,published,https://alko-garden.com.ua/out/pictures/master/product/1/sba-127687-127688-127689-127690-127691-comfort-traktor.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QM7MTR5DJW57X6C9CKEN
prod_01KKH9QM24X359W1VZ33VAX4DV,alko-112856-hazonokosarka-elektrychna-382-se,Газонокосарка електрична 3.82 SE,published,https://alko-garden.com.ua/out/pictures/master/product/1/112856-1.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QM7PCQB36E01VCJ2MPCS
prod_01KKH9QM24YZ0AGP846HZV1BJZ,alko-127692-traktor-hazonokosarka-t22-1033-hd-a-v2,Трактор-газонокосарка T22-103.3 HD-A V2,published,https://alko-garden.com.ua/out/pictures/master/product/1/sba-127692-t22-103-3-hd-a-v2-001-copy.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QM7MM7Q2A3EE64H2ARPJ
prod_01KKH9QMFM3JADDCQ5YCMTHSET,alko-112858-hazonokosarka-elektrychna-40-e,Газонокосарка електрична 40 E,published,https://alko-garden.com.ua/out/pictures/master/product/1/112858-1.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QMP48D1MH5911Z1XCDM9
prod_01KKH9QMFM40QQEMKJY71QACRT,alko-113528-hazonokosarka-elektrychna-427-e,Газонокосарка електрична 4.27 E,published,https://alko-garden.com.ua/out/pictures/master/product/1/112998-classic-4-2-e-plus-1.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QMP3V9VZ1WNWW19XNSGQ
prod_01KKH9QMFM85QXKTAWM7647H81,alko-113527-hazonokosarka-elektrychna-387-e,Газонокосарка електрична 3.87 E,published,https://alko-garden.com.ua/out/pictures/master/product/1/113527-classic-3-87-e-plus.jpg,sc_01KKH9Q4WTTXMPAGC963G9PDZ3,variant_01KKH9QMP3DW79EAM9ZNEQKGZ7
